time,date_recorded
22,2022-10-18
23,2022-11-18
22,2022-12-18
21,2023-01-18
22,2023-02-18
21,2023-03-18
20,2023-04-18
21,May 2 2023
21,May 2 2023
21,May 10 2023
21,May 16 2023
